raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,location_quick_features:mean_abs_lat_deriv,location_quick_features:mean_abs_long_deriv
1.01482,0.158044,,-0.878128,,0.043518,0.011742,0.006554,283.189564,-148.531081,,,0.000511,
1.026423,0.290387,,-0.865478,0.138971,-0.002459,0.00392,,,-143.257188,66.269041,,0.000196,0.000162
1.016173,0.16772,-0.38392,-0.917508,0.197967,0.009283,,0.011108,295.746588,,70.727666,-242.897694,,
1.015699,0.18261,-0.406559,-0.906716,0.179609,0.003263,-0.012347,,395.366649,-237.279018,20.002333,-303.903037,0.004006,0.00386
1.004165,0.001086,-0.025878,-1.003823,0.005875,9.2e-05,,,406.960392,-205.647677,144.644757,-320.003823,1.2e-05,
1.007694,-0.182361,,-0.883215,0.091527,0.002863,-0.01707,-0.001073,365.258737,,75.686549,-272.169716,5e-06,2.3e-05
1.008624,,-0.484518,-0.86284,0.104399,-0.007497,0.000973,0.001799,360.195563,-223.598313,67.555601,,7e-06,1.2e-05
1.007059,-0.043701,,-0.903436,0.10513,0.005816,0.00332,-0.006986,363.956911,-222.655091,,-278.179011,3.7e-05,5.4e-05
1.006386,,,-0.839629,0.093064,,-0.006469,0.00184,362.032068,-236.366697,,-264.814527,,3.8e-05
1.005061,0.4118,-0.228477,,,0.022781,-0.031913,0.012118,345.286146,,,-277.29014,,4.2e-05
1.005916,-0.069059,-0.343197,-0.935035,0.161213,-0.000223,,-0.006398,,-222.09581,87.504315,-276.731605,,5e-05
1.007753,,-0.543656,,,,,,346.293529,-208.170879,58.724249,-270.388643,1.3e-05,
1.01259,-0.03044,-0.548517,-0.843994,,,-0.003086,-0.005335,347.257539,,54.453834,,,
1.010724,-0.014552,-0.52568,,0.286202,,0.009945,-0.003259,349.141839,-213.729133,56.213582,,6e-06,6.5e-05
1.009016,,-0.454483,,0.132145,-0.006964,-0.003105,,355.952644,,,,0.0,3e-06
,-0.725343,-0.309612,-0.437862,,0.036785,-0.017771,0.019969,354.00351,-256.884964,,,0.000112,0.001411
1.010379,-0.028058,,-0.90809,0.26686,-0.001603,-0.001184,-0.002138,351.538301,,,,7.1e-05,0.000917
1.008247,-0.018797,-0.532522,-0.843189,0.345837,,0.007925,0.002707,347.30719,-217.015927,53.818014,-265.618734,1.8e-05,0.00012
1.013781,-0.025784,-0.546347,,0.203782,0.003113,,,344.086931,,57.815174,-265.423402,4.2e-05,0.000662
1.017514,0.036671,-0.639105,,0.270757,0.008642,,,,-207.609881,45.764012,-261.101362,4e-06,
1.065683,-0.207173,,,,0.101864,-0.080079,0.056496,335.653277,-203.245517,,-239.419799,1.9e-05,9.1e-05
1.32306,0.685362,,-0.050269,2.509846,,-0.131511,0.23198,297.36873,-182.014955,,-208.826431,0.000642,
1.448194,0.976743,0.39196,-0.039386,,,0.112327,,281.483488,,89.172836,-214.627499,,0.00015
1.019277,-0.040465,-0.494416,,0.46865,,-0.005022,,281.647711,-167.904385,50.790463,,6.5e-05,7.7e-05
,0.002256,-0.440337,,0.621591,0.006897,,0.031451,282.342499,-169.487582,47.9605,,3.3e-05,4.6e-05
,0.008757,-0.382136,-0.941956,,,-0.002081,,282.579946,-164.872765,56.51135,-222.185716,,
1.22439,-0.082177,,,,,-0.022337,0.020792,306.474888,-205.720002,101.008931,,0.000134,
1.427322,0.579868,0.913971,-0.021877,3.083903,0.064715,0.014588,-0.264879,261.635866,-170.174987,,-163.449461,,0.0001
1.466751,0.568461,0.931008,,3.27184,0.084418,,,,-182.828767,,,,0.00012
,0.601383,0.938341,-0.011288,3.294104,,0.023504,,,-176.176631,116.598346,-165.848145,0.00015,6.5e-05
,0.548253,0.959499,-0.006664,3.043487,0.054534,,-0.223273,289.811335,-187.929896,,-181.158663,5.9e-05,0.000102
1.430644,0.531424,0.969357,0.031194,,0.017725,,-0.24271,,,118.027076,-175.866205,4.8e-05,8.8e-05
1.402385,,,,3.774011,-0.02288,-0.041752,-0.051642,304.181019,,85.382002,,3.7e-05,
1.294186,,,0.071286,2.388449,,,-0.121654,249.930729,,94.410942,,,0.000102
1.138249,0.981085,0.255894,0.04631,1.596866,-0.064182,-0.009702,,252.116644,,86.653642,-181.641063,,
,1.001746,0.114305,0.001449,,-0.00177,-0.001548,-0.081579,245.687838,-146.635836,91.580552,-172.465486,1e-05,6e-06
1.01599,-0.074435,-0.371793,-0.720642,0.502036,0.025575,-0.03841,0.143033,287.439982,-195.31708,57.903418,-202.584151,0.000552,0.001319
0.993128,,0.168015,,0.025762,0.010276,,-0.00697,,,85.396497,-176.177612,0.000286,0.000912
,-0.460713,,-0.084356,0.636243,0.030985,-0.01788,-0.018868,307.894724,-206.949733,97.147546,-205.792036,0.00157,0.006366
,,,0.140226,1.291954,0.29819,,-0.124295,284.877792,,97.689581,-182.934118,,0.000511
,-0.726262,,,0.059691,-0.001843,0.002373,,259.900184,,82.070325,,3e-06,
,-0.783799,0.021462,0.609741,,-0.001697,0.002305,-0.004477,,-172.589595,85.275428,-179.507605,4.2e-05,6.5e-05
0.995216,,,,0.176817,0.003762,,-0.002869,263.295849,,84.357188,-173.081019,0.000139,0.000121
,-0.836442,,0.538984,0.115518,0.001934,0.005258,-0.001964,263.047092,-177.682997,81.394646,,1.9e-05,0.000118
0.995336,-0.853935,0.000973,0.508047,0.163658,0.002055,,-0.003148,261.148064,-175.771442,81.202174,-175.231119,,
0.995175,,0.023372,0.46579,0.163922,0.009218,,-0.01774,261.241785,-185.621307,71.518445,-169.167737,9.5e-05,0.00036
,,,,0.045282,-0.000424,0.000457,0.000324,,-172.361247,71.333859,-169.74021,4.2e-05,0.000196
1.000718,,0.096679,,0.410166,0.090716,0.057428,-0.025838,258.765252,-176.730117,75.207393,,5.8e-05,0.000148
1.015626,,,-0.957258,0.050976,,-0.002455,-0.000402,295.490355,-200.484525,75.115953,-203.658369,,0.000439
,0.602552,0.188687,-0.60524,0.628922,-0.042188,-0.006163,-0.039813,287.96243,-198.196324,64.513556,-198.31141,5.9e-05,0.000193
0.996606,0.527937,0.340766,-0.772781,0.049325,,0.002193,0.003224,,-205.227251,,-200.62023,8.3e-05,0.000122
,0.532484,,,0.037816,0.002062,,-5.8e-05,,-216.146531,61.581496,-191.854869,,0.000164
0.996807,,,,0.050561,,0.001206,,294.135927,-211.103562,65.842319,-193.938819,1.5e-05,5.4e-05
1.007802,0.659363,,,0.628956,-0.022417,0.011897,,291.467584,-192.237387,64.116675,,0.000192,
1.014508,0.141991,0.029382,-0.912135,0.294287,-0.012863,,-0.014945,292.934191,,81.478627,-200.799127,2.5e-05,5.2e-05
0.998843,0.332736,0.348769,-0.872995,,0.00053,0.00053,0.000183,,-198.160484,,-202.363442,1.2e-05,
,,0.348772,-0.873564,0.247501,-0.009378,0.005239,0.007533,289.144282,-195.517313,60.671568,-204.191942,6e-05,0.000246
1.000375,,0.318546,,,-0.000265,,,292.431618,-195.729351,68.546099,-206.135685,3.3e-05,0.000173
0.997148,0.500948,,-0.79687,0.043624,-0.000184,-0.00138,-0.002326,,-196.941698,68.068008,-206.833179,4.4e-05,4.3e-05
1.000374,0.536477,,,0.248961,,0.007763,0.002972,,-197.878912,80.11917,-215.53322,2.4e-05,
1.00744,,,,0.564655,0.002132,0.002755,,291.531645,-196.067581,64.110494,-205.936402,5.4e-05,
1.083488,0.336041,0.931802,-0.084918,1.353243,-0.008285,0.093269,0.079134,285.639633,-186.816056,,-187.18377,,
,0.574548,0.797812,-0.051012,0.147639,,0.013444,-0.0018,,-150.200338,110.106718,,8e-06,8e-06
1.001145,0.648495,0.676682,-0.179161,0.290817,0.016103,0.08048,-0.030647,283.372224,-155.153599,108.694827,-210.530119,0.000403,
1.010294,0.698482,,,,,,,300.150725,-173.030409,116.983718,-214.425511,6e-06,1.1e-05
0.997709,0.676325,0.598556,-0.358273,0.167185,0.019219,0.017343,-0.002892,313.290584,-179.102875,,-235.37588,6.9e-05,8.9e-05
1.009842,0.702052,,-0.229272,,,-0.100071,,285.016054,-163.602687,,-203.201764,0.000106,
,0.638763,0.757323,,0.067748,,,,302.920286,-185.971555,124.218379,,1.1e-05,7.3e-05
,,0.720597,-0.000459,0.672684,-0.000543,0.024339,0.004057,280.975694,-181.496236,125.135128,,1.2e-05,7e-06
1.055639,0.781012,0.609741,-0.058737,,0.110789,0.113515,,,-164.24116,109.277999,,0.000267,0.001708
1.014866,,0.711624,-0.109857,0.630185,-0.054267,,,,-146.197167,93.718851,-187.290275,,
0.995271,0.720258,,-0.007649,,,-0.01319,,,-183.279453,124.73718,-200.477736,0.000131,
0.99419,0.717694,0.668677,-0.063883,,-0.003816,0.00197,-0.001524,299.347135,-185.187145,125.170084,,2.5e-05,2.5e-05
1.010655,,0.635798,-0.024295,,0.002342,0.011729,0.017473,264.959827,-169.394226,116.387969,-166.826466,8.1e-05,
1.008621,,0.59282,,,,,-0.006083,,,,-178.863365,,1.2e-05
1.003054,0.682141,0.714126,-0.002563,,0.071398,,,295.644366,-183.000671,123.858799,-196.246807,9.4e-05,5.7e-05
0.996902,0.705818,0.538172,-0.20179,,0.022447,-0.009034,-0.000712,302.124011,,,-210.450239,0.000357,0.002091
1.001226,0.703846,,-0.027573,0.446711,,,0.001299,284.52812,-174.101326,122.53238,-188.049758,,0.000135
1.000706,0.821631,0.411345,-0.286585,0.243375,-0.005744,0.000578,0.003457,284.488716,-156.153694,63.400499,-228.994851,,5.6e-05
0.995213,0.734208,,0.089838,0.161373,-0.002956,-0.00377,0.00139,251.583025,-131.56659,78.995881,-199.277249,8.3e-05,0.000115
,0.737041,,-0.125835,0.564069,0.145808,0.124702,-0.025403,255.045599,-145.0095,82.103577,-190.495872,,0.000122
0.993153,,,-0.256774,,-0.000473,-0.000226,0.001668,305.645603,-181.615347,114.260542,-217.665222,,3e-05
,0.688002,0.713252,,0.016417,0.002275,0.00022,0.000338,301.109446,,,,4.1e-05,0.00025
,0.733798,0.645401,-0.065691,0.840641,0.04333,0.071516,-0.006514,281.040744,-160.748553,,,9.2e-05,0.000529
,0.806068,,-0.094373,0.377765,0.057087,0.044055,-0.005494,,-143.478025,86.482058,,,
,0.741456,,,0.145727,,-0.029508,0.011794,241.204626,-138.993048,,-178.567143,0.000124,0.000123
1.060375,0.779817,0.619286,-0.050064,1.201089,,-0.040679,,,-172.379918,99.925714,,0.000215,0.0013
1.003235,0.505584,,-0.018291,0.537643,0.0078,0.049461,-0.007645,,-143.893729,98.940332,-194.038253,7e-06,
0.991838,0.648711,,,0.065844,,0.005915,0.004172,235.689203,,,-168.118274,5e-06,
0.998461,0.740473,,-0.011568,0.288468,,-0.019197,,239.395021,-137.051662,,,5e-05,
0.99607,0.728069,0.622543,,,0.010476,-0.021477,0.022551,240.954587,-138.317447,86.650445,-176.588036,3.5e-05,0.000107
0.996796,0.7743,0.465404,-0.244195,,-0.002307,,-0.014938,275.551433,,64.651036,-220.990013,4e-06,4e-06
0.996227,,0.375193,-0.379385,0.132147,,-0.022283,,,-147.19619,61.402878,,2e-06,4e-06
1.000663,,0.619329,0.054383,0.367552,0.000456,-0.008886,,266.325491,-137.954966,84.447563,-211.445826,2.9e-05,5.4e-05
,0.701825,0.644558,0.021157,0.190917,0.021474,-0.021581,,,-134.975069,86.465859,-190.55287,,
,0.769029,0.580017,,,0.03857,-0.007297,0.011695,269.280451,-140.967056,,,3e-06,4e-06
,0.770716,0.598058,-0.09578,0.60036,-0.015897,0.009531,-0.003785,260.344689,,79.04384,-205.514744,7.1e-05,
,0.803944,0.563472,-0.04673,,,,,259.220534,-138.440635,70.796086,-207.333884,,
,,-0.052513,-0.764962,,0.014508,0.00553,,258.063282,-153.034728,41.054299,,2e-06,5e-06
1.003484,0.601948,-0.475269,-0.646648,0.028141,0.000439,-0.001468,0.001716,234.477608,,43.904298,-180.059691,0.0,0.0
,0.723532,0.31213,-0.152524,0.52056,-0.091949,0.021576,-0.03423,251.082417,-141.747602,65.630024,-195.815164,0.000101,0.000208
1.002226,,0.596603,0.078047,0.381981,0.021127,0.017133,,239.383791,-137.896591,80.958333,-177.597976,2.6e-05,0.000139
,0.814051,,-0.166293,0.424134,0.022028,0.006992,0.001663,,,88.525292,-173.390345,5e-06,3.9e-05
,,0.567423,-0.014676,0.645793,-0.077078,-0.050761,,240.826904,-141.066421,84.084785,-175.699581,5.8e-05,
1.017016,0.084643,,-0.904454,0.457419,-0.00385,0.007244,-0.028948,306.295417,-191.160676,,-221.61782,,1e-05
1.030658,,-0.454076,-0.908727,0.729726,,-0.033449,-0.038471,,-209.789059,,-214.109944,0.000754,0.002746
1.075058,0.166031,0.975774,0.055056,1.552423,-0.012404,-0.095536,,,,108.564167,-181.469862,0.003594,0.008912
1.281299,0.032618,1.054098,0.013587,2.404152,,0.031369,-0.17741,300.440018,-179.129058,122.342466,-207.475338,0.000241,
,-0.035197,1.035693,0.054228,,0.038186,0.047132,-0.13956,290.954988,-172.949929,122.275964,-199.234813,9.7e-05,
,,,0.062456,2.310915,0.047468,0.003406,-0.132257,272.963858,-165.388694,122.285342,,,0.000215
1.244425,-0.16206,,,2.378964,,-0.004548,,277.223558,-171.174223,,-179.653843,,
1.044299,-0.146481,,,0.860188,0.029966,,-0.042974,290.368499,,114.569606,,0.000871,0.000262
1.017345,-0.161197,0.977537,,,0.029863,-0.109754,-0.028619,295.334793,-207.551292,111.38262,-177.510607,,0.000312
